Mock Pupil Dataset - One Form Entry Primary School,,,,,,,,,,,,,,,,,,
30 pupils per year group from Reception to Year 6 (210 total). Data is fictional.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Student ID,First Name,Last Name,Year Group,Date of Birth,Sex,Reading,Writing,Maths,Science,History,Geography,Computing,Art,Music,PE,RE,Attendance,Persistent Absence
1015,Evie,Foster,Reception,17/02/2021,Female,Working Towards,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Working Towards,Working Towards,Greater Depth,Greater Depth,98.0%,No
1016,Freya,Bell,Reception,28/01/2021,Female,Working Towards,Expected,Working Towards,Working Towards,Greater Depth,Pre-Working Towards,Expected,Expected,Expected,Expected,Working Towards,87.3%,Yes
1017,George,Hunter,Reception,17/07/2021,Male,Working Towards,Working Towards,Working Towards,Working Towards,Expected,Working Towards,Greater Depth,Greater Depth,Expected,Working Towards,Working Towards,92.0%,No
1018,Henry,Patel,Reception,22/08/2021,Male,Working Towards,Greater Depth,Working Towards,Greater Depth,Expected,Working Towards,Expected,Expected,Greater Depth,Greater Depth,Greater Depth,94.6%,No
1019,Freya,Kelly,Reception,13/01/2021,Female,Greater Depth,Pre-Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Working Towards,Expected,Greater Depth,97.8%,No
1020,Olivia,Hunter,Reception,13/12/2020,Female,Working Towards,Pre-Working Towards,Working Towards,Expected,Expected,Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Expected,99.2%,No
1021,Henry,Wright,Reception,20/09/2020,Male,Pre-Working Towards,Expected,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Pre-Working Towards,Expected,Working Towards,Pre-Working Towards,Expected,89.8%,Yes
1022,Rosie,Wright,Reception,13/08/2021,Female,Greater Depth,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,Working Towards,Expected,Working Towards,Pre-Working Towards,Pre-Working Towards,93.9%,No
1023,Ruby,Dixon,Reception,26/02/2021,Female,Expected,Pre-Working Towards,Working Towards,Working Towards,Greater Depth,Working Towards,Greater Depth,Expected,Working Towards,Expected,Expected,94.5%,No
1024,Oliver,Hall,Reception,21/07/2021,Male,Expected,Working Towards,Greater Depth,Working Towards,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Pre-Working Towards,Working Towards,Working Towards,97.6%,No
1025,Luca,Campbell,Reception,27/06/2021,Male,Working Towards,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Greater Depth,Working Towards,Expected,Working Towards,Pre-Working Towards,Pre-Working Towards,96.0%,No
1026,Theo,Barnes,Reception,20/06/2021,Male,Greater Depth,Expected,Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,Working Towards,Working Towards,93.8%,No
1027,Poppy,Turner,Reception,12/03/2021,Female,Working Towards,Expected,Working Towards,Greater Depth,Expected,Working Towards,Working Towards,Expected,Working Towards,Expected,Working Towards,95.2%,No
1028,Oliver,Price,Reception,09/04/2021,Male,Expected,Working Towards,Pre-Working Towards,Expected,Expected,Expected,Working Towards,Expected,Pre-Working Towards,Working Towards,Working Towards,94.2%,No
1029,Samuel,Morris,Reception,22/08/2021,Male,Expected,Pre-Working Towards,Greater Depth,Expected,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Greater Depth,Working Towards,Working Towards,92.6%,No
1030,Poppy,Roberts,Reception,24/01/2021,Female,Expected,Expected,Greater Depth,Working Towards,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,Pre-Working Towards,94.3%,No
1031,Grace,Wilson,Year 1,15/04/2020,Female,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Working Towards,Expected,Expected,97.7%,No
1032,Toby,Griffin,Year 1,19/12/2019,Male,Working Towards,Working Towards,Greater Depth,Expected,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Pre-Working Towards,Greater Depth,97.7%,No
1033,Mason,Foster,Year 1,09/01/2020,Male,Working Towards,Pre-Working Towards,Greater Depth,Working Towards,Working Towards,Greater Depth,Working Towards,Working Towards,Expected,Working Towards,Expected,93.9%,No
1034,Amelia,Bennett,Year 1,19/07/2020,Female,Expected,Working Towards,Working Towards,Expected,Expected,Expected,Expected,Working Towards,Expected,Working Towards,Greater Depth,96.1%,No
1035,Hannah,Bailey,Year 1,09/10/2019,Female,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,Greater Depth,Working Towards,Working Towards,Working Towards,Expected,Pre-Working Towards,92.9%,No
1036,Freya,Murphy,Year 1,21/11/2019,Female,Expected,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Expected,Working Towards,Expected,Working Towards,Working Towards,Greater Depth,92.9%,No
1037,Grace,Brooks,Year 1,08/12/2019,Female,Greater Depth,Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,Greater Depth,Pre-Working Towards,Pre-Working Towards,Expected,Greater Depth,94.3%,No
1038,Grace,Powell,Year 1,29/07/2020,Female,Expected,Expected,Expected,Working Towards,Working Towards,Expected,Greater Depth,Working Towards,Expected,Pre-Working Towards,Pre-Working Towards,92.5%,No
1039,Harry,Chapman,Year 1,27/03/2020,Male,Pre-Working Towards,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Expected,Expected,Expected,Pre-Working Towards,Working Towards,Expected,95.8%,No
1040,Ruby,Hughes,Year 1,08/06/2020,Female,Expected,Pre-Working Towards,Expected,Expected,Expected,Greater Depth,Working Towards,Expected,Working Towards,Working Towards,Pre-Working Towards,91.7%,No
1041,Freddie,Edwards,Year 1,29/02/2020,Male,Expected,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Greater Depth,Expected,Pre-Working Towards,Expected,96.0%,No
1042,Hugo,Chapman,Year 1,03/09/2019,Male,Greater Depth,Expected,Working Towards,Expected,Working Towards,Pre-Working Towards,Expected,Greater Depth,Expected,Greater Depth,Working Towards,96.6%,No
1043,Phoebe,Parker,Year 1,18/12/2019,Female,Expected,Pre-Working Towards,Greater Depth,Working Towards,Pre-Working Towards,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Pre-Working Towards,Working Towards,91.9%,No
1044,Max,Cox,Year 1,08/01/2020,Male,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,Working Towards,Expected,Working Towards,Working Towards,Expected,Greater Depth,Pre-Working Towards,97.3%,No
1045,Daniel,Foster,Year 1,16/04/2020,Male,Pre-Working Towards,Expected,Expected,Working Towards,Greater Depth,Greater Depth,Expected,Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,92.8%,No
1046,Leo,Bailey,Year 1,30/05/2020,Male,Expected,Working Towards,Expected,Pre-Working Towards,Pre-Working Towards,Greater Depth,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Working Towards,94.7%,No
1047,Charlotte,Parker,Year 1,15/02/2020,Female,Working Towards,Expected,Expected,Greater Depth,Pre-Working Towards,Expected,Pre-Working Towards,Pre-Working Towards,Greater Depth,Pre-Working Towards,Greater Depth,93.9%,No
1048,Alfie,Bailey,Year 1,30/04/2020,Male,Greater Depth,Pre-Working Towards,Pre-Working Towards,Greater Depth,Expected,Expected,Working Towards,Expected,Greater Depth,Greater Depth,Expected,93.5%,No
1049,Maya,Pearce,Year 1,09/07/2020,Female,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,Working Towards,Expected,Expected,Expected,Greater Depth,Expected,94.4%,No
1050,Finley,Wright,Year 1,19/07/2020,Male,Working Towards,Expected,Working Towards,Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,95.2%,No
1051,William,Campbell,Year 1,22/08/2020,Male,Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,Expected,Expected,Working Towards,Expected,Working Towards,Working Towards,96.8%,No
1052,Mia,Matthews,Year 1,09/06/2020,Female,Expected,Working Towards,Expected,Working Towards,Working Towards,Greater Depth,Greater Depth,Expected,Expected,Working Towards,Greater Depth,97.5%,No
1053,Daisy,Chapman,Year 1,04/04/2020,Female,Greater Depth,Greater Depth,Working Towards,Pre-Working Towards,Working Towards,Pre-Working Towards,Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,93.2%,No
1054,Sofia,Clarke,Year 1,13/06/2020,Female,Greater Depth,Pre-Working Towards,Expected,Expected,Greater Depth,Working Towards,Working Towards,Greater Depth,Working Towards,Expected,Expected,96.6%,No
1055,Grace,Roberts,Year 1,02/08/2020,Female,Expected,Working Towards,Greater Depth,Expected,Working Towards,Working Towards,Expected,Pre-Working Towards,Pre-Working Towards,Pre-Working Towards,Working Towards,87.1%,Yes
1056,Harper,Morris,Year 1,15/12/2019,Female,Expected,Expected,Greater Depth,Expected,Working Towards,Greater Depth,Working Towards,Greater Depth,Expected,Expected,Working Towards,96.5%,No
1057,Zachary,Ward,Year 1,07/07/2020,Male,Pre-Working Towards,Expected,Greater Depth,Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,Expected,95.6%,No
1058,Isla,Hall,Year 1,13/03/2020,Female,Greater Depth,Expected,Expected,Expected,Expected,Expected,Expected,Working Towards,Expected,Greater Depth,Pre-Working Towards,98.6%,No
1059,Grace,Edwards,Year 1,13/08/2020,Female,Expected,Pre-Working Towards,Expected,Expected,Working Towards,Expected,Working Towards,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,97.5%,No
1060,Mason,Hunter,Year 1,20/01/2020,Male,Greater Depth,Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,Greater Depth,Expected,Expected,Expected,Pre-Working Towards,95.5%,No
1061,Leo,Brooks,Year 2,30/05/2019,Male,Expected,Expected,Greater Depth,Greater Depth,Greater Depth,Expected,Greater Depth,Expected,Working Towards,Working Towards,Expected,88.4%,Yes
1062,Jack,Price,Year 2,10/10/2018,Male,Working Towards,Expected,Working Towards,Working Towards,Working Towards,Expected,Expected,Expected,Expected,Working Towards,Expected,95.7%,No
1063,Isla,Powell,Year 2,09/04/2019,Female,Expected,Expected,Pre-Working Towards,Expected,Expected,Expected,Pre-Working Towards,Working Towards,Greater Depth,Pre-Working Towards,Pre-Working Towards,95.5%,No
1064,Max,Bell,Year 2,07/12/2018,Male,Greater Depth,Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,Expected,Working Towards,Expected,Expected,Expected,95.0%,No
1065,Maya,Morris,Year 2,01/08/2019,Female,Working Towards,Expected,Greater Depth,Pre-Working Towards,Greater Depth,Greater Depth,Working Towards,Expected,Expected,Expected,Pre-Working Towards,93.4%,No
1066,Ella,Griffin,Year 2,17/07/2019,Female,Working Towards,Working Towards,Expected,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,Expected,Expected,93.4%,No
1067,Matilda,Murphy,Year 2,05/10/2018,Female,Pre-Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Pre-Working Towards,Working Towards,Working Towards,98.5%,No
1068,Max,Foster,Year 2,17/09/2018,Male,Working Towards,Expected,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Expected,Working Towards,Working Towards,Expected,90.3%,No
1069,Millie,Griffin,Year 2,05/01/2019,Female,Expected,Working Towards,Greater Depth,Greater Depth,Working Towards,Expected,Greater Depth,Greater Depth,Expected,Expected,Greater Depth,93.5%,No
1070,Toby,Edwards,Year 2,27/12/2018,Male,Working Towards,Working Towards,Working Towards,Expected,Working Towards,Working Towards,Expected,Greater Depth,Greater Depth,Working Towards,Expected,94.6%,No
1071,Leo,Bennett,Year 2,09/09/2018,Male,Pre-Working Towards,Working Towards,Expected,Expected,Expected,Greater Depth,Expected,Expected,Working Towards,Working Towards,Pre-Working Towards,94.3%,No
1072,George,Dixon,Year 2,30/05/2019,Male,Expected,Greater Depth,Expected,Pre-Working Towards,Working Towards,Expected,Working Towards,Working Towards,Greater Depth,Greater Depth,Working Towards,93.7%,No
1073,Ruby,Turner,Year 2,13/10/2018,Female,Greater Depth,Expected,Expected,Greater Depth,Greater Depth,Greater Depth,Expected,Greater Depth,Working Towards,Working Towards,Working Towards,95.1%,No
1074,Millie,King,Year 2,02/09/2018,Female,Expected,Expected,Expected,Pre-Working Towards,Expected,Working Towards,Working Towards,Expected,Working Towards,Pre-Working Towards,Greater Depth,93.0%,No
1075,Matilda,Edwards,Year 2,03/04/2019,Female,Greater Depth,Greater Depth,Pre-Working Towards,Greater Depth,Greater Depth,Pre-Working Towards,Greater Depth,Expected,Working Towards,Pre-Working Towards,Expected,97.5%,No
1076,George,Russell,Year 2,07/02/2019,Male,Expected,Expected,Expected,Greater Depth,Greater Depth,Working Towards,Greater Depth,Pre-Working Towards,Greater Depth,Working Towards,Working Towards,94.9%,No
1077,Oscar,Wright,Year 2,28/08/2019,Male,Expected,Working Towards,Expected,Working Towards,Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,96.1%,No
1078,Emily,Clarke,Year 2,18/09/2018,Female,Working Towards,Expected,Expected,Working Towards,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Expected,Greater Depth,96.9%,No
1079,Finley,Parker,Year 2,22/06/2019,Male,Expected,Working Towards,Expected,Pre-Working Towards,Greater Depth,Working Towards,Expected,Working Towards,Working Towards,Working Towards,Greater Depth,93.2%,No
1080,Zachary,Morris,Year 2,12/07/2019,Male,Pre-Working Towards,Expected,Working Towards,Expected,Expected,Working Towards,Working Towards,Working Towards,Working Towards,Greater Depth,Expected,96.9%,No
1081,Matilda,Kelly,Year 2,17/08/2019,Female,Expected,Expected,Working Towards,Expected,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Working Towards,Expected,96.5%,No
1082,Amelia,Price,Year 2,15/10/2018,Female,Expected,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Greater Depth,Working Towards,Expected,90.3%,No
1083,Joseph,Campbell,Year 2,25/02/2019,Male,Pre-Working Towards,Greater Depth,Expected,Expected,Expected,Expected,Working Towards,Expected,Pre-Working Towards,Pre-Working Towards,Expected,95.5%,No
1084,Rosie,Murphy,Year 2,07/03/2019,Female,Greater Depth,Expected,Expected,Greater Depth,Working Towards,Expected,Working Towards,Expected,Greater Depth,Pre-Working Towards,Pre-Working Towards,97.4%,No
1085,Isla,Kelly,Year 2,25/02/2019,Female,Greater Depth,Expected,Expected,Expected,Greater Depth,Expected,Working Towards,Working Towards,Expected,Working Towards,Working Towards,95.0%,No
1086,Isaac,Russell,Year 2,09/03/2019,Male,Expected,Greater Depth,Working Towards,Working Towards,Pre-Working Towards,Expected,Greater Depth,Expected,Pre-Working Towards,Expected,Greater Depth,93.5%,No
1087,Charlotte,Bailey,Year 2,09/05/2019,Female,Expected,Expected,Pre-Working Towards,Greater Depth,Pre-Working Towards,Working Towards,Expected,Expected,Working Towards,Working Towards,Pre-Working Towards,93.0%,No
1088,Evie,Powell,Year 2,11/06/2019,Female,Expected,Pre-Working Towards,Working Towards,Greater Depth,Expected,Working Towards,Greater Depth,Pre-Working Towards,Working Towards,Expected,Greater Depth,85.7%,Yes
1089,Willow,Russell,Year 2,28/11/2018,Female,Expected,Expected,Pre-Working Towards,Working Towards,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Working Towards,97.4%,No
1090,Luca,Smith,Year 2,29/07/2019,Male,Working Towards,Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Working Towards,Greater Depth,Working Towards,Expected,92.2%,No
1091,Freddie,Hughes,Year 3,02/08/2018,Male,Working Towards,Expected,Pre-Working Towards,Pre-Working Towards,Greater Depth,Pre-Working Towards,Working Towards,Greater Depth,Working Towards,Greater Depth,Working Towards,96.6%,No
1092,James,Turner,Year 3,18/02/2018,Male,Expected,Pre-Working Towards,Working Towards,Working Towards,Expected,Pre-Working Towards,Working Towards,Working Towards,Working Towards,Expected,Expected,89.4%,Yes
1093,Ava,Clarke,Year 3,15/10/2017,Female,Expected,Expected,Expected,Expected,Expected,Greater Depth,Expected,Greater Depth,Greater Depth,Working Towards,Working Towards,93.2%,No
1094,Mason,Cooper,Year 3,19/10/2017,Male,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Greater Depth,Greater Depth,Working Towards,Pre-Working Towards,Greater Depth,94.6%,No
1095,Charlotte,Powell,Year 3,19/05/2018,Female,Expected,Greater Depth,Greater Depth,Greater Depth,Greater Depth,Expected,Expected,Expected,Expected,Pre-Working Towards,Expected,94.9%,No
1096,Hannah,Hill,Year 3,23/10/2017,Female,Working Towards,Expected,Expected,Working Towards,Expected,Expected,Expected,Expected,Expected,Pre-Working Towards,Greater Depth,97.1%,No
1097,Amelia,Brooks,Year 3,08/12/2017,Female,Expected,Expected,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Expected,Expected,Expected,94.7%,No
1098,Alice,Hughes,Year 3,13/12/2017,Female,Greater Depth,Greater Depth,Working Towards,Expected,Expected,Working Towards,Working Towards,Expected,Greater Depth,Working Towards,Greater Depth,91.8%,No
1099,Harper,Green,Year 3,06/07/2018,Female,Greater Depth,Working Towards,Working Towards,Expected,Working Towards,Working Towards,Greater Depth,Expected,Expected,Pre-Working Towards,Working Towards,95.8%,No
1100,Daniel,Foster,Year 3,06/03/2018,Male,Expected,Working Towards,Working Towards,Expected,Expected,Expected,Expected,Working Towards,Expected,Working Towards,Expected,94.2%,No
1101,Isla,Ward,Year 3,06/04/2018,Female,Working Towards,Expected,Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Expected,Greater Depth,Working Towards,94.4%,No
1102,Noah,Hughes,Year 3,30/07/2018,Male,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Expected,Expected,Expected,Greater Depth,Pre-Working Towards,96.1%,No
1103,Isla,Pearce,Year 3,13/12/2017,Female,Greater Depth,Expected,Greater Depth,Working Towards,Greater Depth,Working Towards,Expected,Pre-Working Towards,Working Towards,Greater Depth,Working Towards,93.8%,No
1104,Emily,Kelly,Year 3,10/10/2017,Female,Working Towards,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Working Towards,Greater Depth,Working Towards,Expected,Pre-Working Towards,95.2%,No
1105,Leo,Green,Year 3,23/09/2017,Male,Greater Depth,Working Towards,Expected,Expected,Greater Depth,Greater Depth,Expected,Greater Depth,Expected,Expected,Working Towards,92.1%,No
1106,Ethan,Wright,Year 3,17/02/2018,Male,Greater Depth,Pre-Working Towards,Working Towards,Working Towards,Expected,Greater Depth,Expected,Pre-Working Towards,Greater Depth,Greater Depth,Greater Depth,95.2%,No
1107,Reuben,Wright,Year 3,24/07/2018,Male,Greater Depth,Greater Depth,Working Towards,Greater Depth,Working Towards,Expected,Expected,Expected,Expected,Working Towards,Pre-Working Towards,87.6%,Yes
1108,Grace,Griffin,Year 3,02/05/2018,Female,Working Towards,Greater Depth,Pre-Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,Expected,Working Towards,Working Towards,Greater Depth,Working Towards,88.0%,Yes
1109,Sofia,Foster,Year 3,03/04/2018,Female,Greater Depth,Expected,Working Towards,Expected,Expected,Greater Depth,Greater Depth,Expected,Expected,Greater Depth,Expected,86.6%,Yes
1110,Millie,Matthews,Year 3,07/11/2017,Female,Pre-Working Towards,Working Towards,Expected,Working Towards,Working Towards,Greater Depth,Expected,Pre-Working Towards,Working Towards,Expected,Pre-Working Towards,90.8%,No
1111,Daniel,Pearce,Year 3,01/06/2018,Male,Expected,Working Towards,Expected,Working Towards,Working Towards,Expected,Expected,Expected,Greater Depth,Working Towards,Expected,98.9%,No
1112,Henry,Clarke,Year 3,04/01/2018,Male,Expected,Expected,Expected,Pre-Working Towards,Working Towards,Expected,Greater Depth,Expected,Greater Depth,Expected,Greater Depth,94.9%,No
1113,George,Cox,Year 3,24/10/2017,Male,Expected,Expected,Expected,Expected,Greater Depth,Expected,Greater Depth,Working Towards,Working Towards,Working Towards,Working Towards,95.5%,No
1114,Aiden,Patel,Year 3,22/06/2018,Male,Greater Depth,Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,Greater Depth,Working Towards,Pre-Working Towards,Greater Depth,Pre-Working Towards,Expected,91.7%,No
1115,Sophia,Hall,Year 3,19/02/2018,Female,Working Towards,Pre-Working Towards,Pre-Working Towards,Greater Depth,Expected,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Working Towards,Working Towards,94.2%,No
1116,Zachary,Smith,Year 3,07/05/2018,Male,Expected,Expected,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Working Towards,Working Towards,Working Towards,94.2%,No
1117,Leo,Thomas,Year 3,23/07/2018,Male,Pre-Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Working Towards,Expected,Working Towards,Greater Depth,Greater Depth,95.6%,No
1118,Poppy,Bell,Year 3,25/05/2018,Female,Greater Depth,Working Towards,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Greater Depth,Expected,Pre-Working Towards,Expected,Expected,95.3%,No
1119,Isaac,Thomas,Year 3,25/09/2017,Male,Greater Depth,Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Working Towards,Working Towards,Greater Depth,Pre-Working Towards,95.1%,No
1120,Sienna,Hughes,Year 3,08/05/2018,Female,Expected,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Expected,Pre-Working Towards,Greater Depth,85.6%,Yes
1121,Benjamin,Dixon,Year 4,05/08/2017,Male,Expected,Working Towards,Expected,Greater Depth,Greater Depth,Working Towards,Expected,Expected,Expected,Greater Depth,Expected,95.2%,No
1122,William,Wright,Year 4,06/09/2016,Male,Expected,Greater Depth,Pre-Working Towards,Expected,Greater Depth,Expected,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Working Towards,98.6%,No
1123,Freddie,Kelly,Year 4,21/05/2017,Male,Expected,Working Towards,Expected,Greater Depth,Expected,Working Towards,Working Towards,Expected,Greater Depth,Expected,Working Towards,98.7%,No
1124,Benjamin,Chapman,Year 4,30/06/2017,Male,Greater Depth,Working Towards,Greater Depth,Working Towards,Expected,Pre-Working Towards,Greater Depth,Working Towards,Working Towards,Expected,Working Towards,92.5%,No
1125,Ella,Foster,Year 4,27/12/2016,Female,Pre-Working Towards,Expected,Expected,Working Towards,Pre-Working Towards,Expected,Expected,Expected,Expected,Expected,Greater Depth,92.3%,No
1126,Toby,Roberts,Year 4,14/12/2016,Male,Expected,Working Towards,Working Towards,Greater Depth,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Working Towards,Greater Depth,94.8%,No
1127,Luca,Cooper,Year 4,20/11/2016,Male,Expected,Greater Depth,Greater Depth,Expected,Pre-Working Towards,Expected,Working Towards,Working Towards,Working Towards,Working Towards,Expected,94.6%,No
1128,Freya,Hill,Year 4,24/02/2017,Female,Working Towards,Expected,Pre-Working Towards,Expected,Greater Depth,Expected,Expected,Greater Depth,Greater Depth,Expected,Working Towards,95.1%,No
1129,Mia,Price,Year 4,14/08/2017,Female,Pre-Working Towards,Pre-Working Towards,Expected,Greater Depth,Expected,Greater Depth,Expected,Greater Depth,Expected,Pre-Working Towards,Pre-Working Towards,93.0%,No
1130,Max,Smith,Year 4,16/06/2017,Male,Expected,Greater Depth,Expected,Expected,Expected,Working Towards,Greater Depth,Greater Depth,Greater Depth,Pre-Working Towards,Greater Depth,88.1%,Yes
1131,Max,Edwards,Year 4,08/01/2017,Male,Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Greater Depth,Working Towards,Expected,Expected,Pre-Working Towards,Expected,91.2%,No
1132,Sophia,Hunter,Year 4,21/12/2016,Female,Expected,Expected,Expected,Pre-Working Towards,Pre-Working Towards,Greater Depth,Working Towards,Expected,Greater Depth,Expected,Working Towards,95.3%,No
1133,Maya,Hughes,Year 4,04/09/2016,Female,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Expected,Greater Depth,Expected,Expected,Working Towards,Expected,98.0%,No
1134,Ella,Thomas,Year 4,30/11/2016,Female,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,Working Towards,Greater Depth,Working Towards,Working Towards,Expected,Working Towards,96.1%,No
1135,Arthur,Hill,Year 4,29/03/2017,Male,Working Towards,Working Towards,Working Towards,Greater Depth,Working Towards,Greater Depth,Working Towards,Expected,Greater Depth,Working Towards,Expected,94.9%,No
