Mock Pupil Dataset - One Form Entry Primary School,,,,,,,,,,,,,,,,,,
30 pupils per year group from Reception to Year 6 (210 total). Data is fictional.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Student ID,First Name,Last Name,Year Group,Date of Birth,Sex,Reading,Writing,Maths,Science,History,Geography,Computing,Art,Music,PE,RE,Attendance %,Persistent Absence
1014,Isaac,Bailey,Reception,06/07/2020,Male,Greater Depth,Pre-Working Towards,Working Towards,Pre-Working Towards,Expected,Greater Depth,Working Towards,Expected,Working Towards,Expected,Expected,98.3%,No
1015,Sebastian,Baker,Reception,14/05/2020,Male,Pre-Working Towards,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Expected,Expected,Expected,Working Towards,Working Towards,Greater Depth,97.0%,No
1016,Benjamin,Bailey,Reception,04/07/2020,Male,Working Towards,Expected,Greater Depth,Working Towards,Working Towards,Expected,Pre-Working Towards,Working Towards,Working Towards,Working Towards,Expected,94.3%,No
1017,Hugo,Evans,Reception,24/11/2019,Male,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Expected,95.0%,No
1018,Elijah,Lee,Reception,27/03/2020,Male,Expected,Pre-Working Towards,Expected,Expected,Expected,Working Towards,Pre-Working Towards,Greater Depth,Greater Depth,Greater Depth,Working Towards,96.5%,No
1019,Leo,Lee,Reception,14/09/2019,Male,Expected,Pre-Working Towards,Greater Depth,Expected,Expected,Expected,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,88.0%,Yes
1020,Mason,Jones,Reception,04/03/2020,Male,Expected,Greater Depth,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Expected,Working Towards,Expected,Expected,Pre-Working Towards,93.0%,No
1021,Benjamin,Ahmed,Reception,09/06/2020,Male,Expected,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Expected,95.7%,No
1022,Teddy,White,Reception,02/04/2020,Male,Pre-Working Towards,Expected,Pre-Working Towards,Pre-Working Towards,Working Towards,Expected,Greater Depth,Expected,Pre-Working Towards,Working Towards,Expected,91.0%,No
1023,Charlie,Morris,Reception,22/09/2019,Male,Greater Depth,Expected,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Pre-Working Towards,Working Towards,Working Towards,Expected,95.9%,No
1024,Arthur,Singh,Reception,04/10/2019,Male,Working Towards,Expected,Pre-Working Towards,Greater Depth,Greater Depth,Expected,Expected,Expected,Greater Depth,Greater Depth,Expected,85.8%,Yes
1025,Lucy,Patel,Reception,01/04/2020,Female,Expected,Pre-Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,Expected,Expected,Expected,Pre-Working Towards,Expected,93.6%,No
1026,Rory,Young,Reception,13/08/2020,Male,Working Towards,Expected,Working Towards,Greater Depth,Greater Depth,Working Towards,Pre-Working Towards,Expected,Expected,Greater Depth,Expected,85.6%,Yes
1027,Adam,White,Reception,22/10/2019,Male,Expected,Pre-Working Towards,Pre-Working Towards,Greater Depth,Working Towards,Greater Depth,Working Towards,Working Towards,Pre-Working Towards,Working Towards,Expected,94.0%,No
1028,Tommy,Murphy,Reception,01/11/2019,Male,Expected,Expected,Expected,Expected,Working Towards,Pre-Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,Expected,Expected,93.3%,No
1029,Aisha,White,Reception,07/11/2019,Female,Working Towards,Working Towards,Pre-Working Towards,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Expected,Working Towards,Working Towards,98.7%,No
1030,Freddie,Hughes,Reception,20/03/2020,Male,Expected,Expected,Working Towards,Expected,Expected,Greater Depth,Expected,Working Towards,Greater Depth,Working Towards,Working Towards,98.3%,No
1031,Samuel,Williams,Year 1,18/11/2018,Male,Pre-Working Towards,Working Towards,Expected,Expected,Greater Depth,Working Towards,Expected,Expected,Expected,Greater Depth,Pre-Working Towards,96.3%,No
1032,Oscar,Turner,Year 1,22/09/2018,Male,Working Towards,Pre-Working Towards,Expected,Expected,Greater Depth,Pre-Working Towards,Working Towards,Expected,Expected,Working Towards,Expected,98.3%,No
1033,Chloe,Morris,Year 1,15/08/2019,Female,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Working Towards,Expected,Working Towards,Working Towards,Working Towards,Expected,84.7%,Yes
1034,Oliver,Ward,Year 1,07/07/2019,Male,Expected,Expected,Expected,Pre-Working Towards,Greater Depth,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Expected,93.7%,No
1035,Delilah,Price,Year 1,24/01/2019,Female,Expected,Greater Depth,Working Towards,Pre-Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,Expected,Expected,Greater Depth,Greater Depth,95.9%,No
1036,Thomas,Hughes,Year 1,16/03/2019,Male,Expected,Expected,Expected,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Greater Depth,Expected,90.2%,No
1037,Delilah,Jackson,Year 1,20/02/2019,Female,Expected,Pre-Working Towards,Expected,Expected,Working Towards,Pre-Working Towards,Working Towards,Expected,Expected,Working Towards,Expected,95.7%,No
1038,Mason,Phillips,Year 1,03/12/2018,Male,Expected,Expected,Expected,Working Towards,Greater Depth,Expected,Expected,Pre-Working Towards,Expected,Expected,Working Towards,96.1%,No
1039,Elijah,Wood,Year 1,02/04/2019,Male,Pre-Working Towards,Pre-Working Towards,Greater Depth,Working Towards,Expected,Greater Depth,Expected,Expected,Expected,Expected,Expected,97.6%,No
1040,Nora,Khan,Year 1,17/09/2018,Female,Expected,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Greater Depth,Greater Depth,Working Towards,Greater Depth,Expected,94.9%,No
1041,Mohammed,Roberts,Year 1,25/09/2018,Male,Expected,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,85.2%,Yes
1042,Mohammed,Bailey,Year 1,12/03/2019,Male,Expected,Working Towards,Working Towards,Expected,Expected,Expected,Greater Depth,Greater Depth,Expected,Expected,Pre-Working Towards,85.9%,Yes
1043,Theo,Hall,Year 1,18/05/2019,Male,Working Towards,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Working Towards,Expected,Working Towards,97.0%,No
1044,Evelyn,Khan,Year 1,01/06/2019,Female,Pre-Working Towards,Expected,Working Towards,Working Towards,Expected,Expected,Expected,Greater Depth,Working Towards,Expected,Expected,92.1%,No
1045,Lucy,Turner,Year 1,26/04/2019,Female,Working Towards,Expected,Expected,Greater Depth,Greater Depth,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Expected,94.8%,No
1046,Sebastian,Martin,Year 1,19/05/2019,Male,Expected,Expected,Expected,Working Towards,Expected,Greater Depth,Working Towards,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,98.7%,No
1047,Ayla,Young,Year 1,09/11/2018,Female,Pre-Working Towards,Greater Depth,Working Towards,Working Towards,Expected,Expected,Expected,Working Towards,Working Towards,Expected,Expected,93.6%,No
1048,Charlotte,Bell,Year 1,18/04/2019,Female,Working Towards,Expected,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Expected,Pre-Working Towards,Expected,85.4%,Yes
1049,Louie,Morris,Year 1,31/12/2018,Male,Working Towards,Working Towards,Expected,Working Towards,Expected,Expected,Expected,Greater Depth,Expected,Working Towards,Expected,97.6%,No
1050,Aiden,Wright,Year 1,08/12/2018,Male,Expected,Greater Depth,Expected,Greater Depth,Working Towards,Expected,Working Towards,Greater Depth,Pre-Working Towards,Working Towards,Working Towards,95.1%,No
1051,Hugo,Scott,Year 1,19/07/2019,Male,Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Working Towards,Working Towards,Working Towards,91.3%,No
1052,Dylan,Roberts,Year 1,07/12/2018,Male,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Expected,Working Towards,Expected,Expected,Working Towards,88.3%,Yes
1053,Lily,Turner,Year 1,28/04/2019,Female,Greater Depth,Working Towards,Pre-Working Towards,Greater Depth,Greater Depth,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Working Towards,97.1%,No
1054,Maisie,King,Year 1,17/11/2018,Female,Working Towards,Expected,Working Towards,Expected,Working Towards,Expected,Expected,Expected,Expected,Working Towards,Working Towards,96.9%,No
1055,Matilda,Murphy,Year 1,26/08/2019,Female,Working Towards,Expected,Expected,Working Towards,Greater Depth,Working Towards,Expected,Expected,Greater Depth,Pre-Working Towards,Expected,93.2%,No
1056,Nora,Brown,Year 1,31/12/2018,Female,Working Towards,Expected,Expected,Expected,Working Towards,Expected,Working Towards,Working Towards,Working Towards,Expected,Working Towards,85.2%,Yes
1057,Rosie,Hill,Year 1,05/08/2019,Female,Pre-Working Towards,Working Towards,Expected,Greater Depth,Working Towards,Pre-Working Towards,Working Towards,Greater Depth,Working Towards,Expected,Expected,92.4%,No
1058,Imogen,Taylor,Year 1,29/09/2018,Female,Pre-Working Towards,Expected,Greater Depth,Expected,Expected,Expected,Greater Depth,Pre-Working Towards,Working Towards,Pre-Working Towards,Greater Depth,92.9%,No
1059,Mason,Murphy,Year 1,17/05/2019,Male,Expected,Working Towards,Greater Depth,Working Towards,Working Towards,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Expected,95.7%,No
1060,Elijah,Hall,Year 1,22/01/2019,Male,Working Towards,Pre-Working Towards,Working Towards,Greater Depth,Expected,Greater Depth,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Working Towards,94.6%,No
1061,Alexander,Bell,Year 2,20/03/2018,Male,Expected,Working Towards,Working Towards,Expected,Greater Depth,Greater Depth,Expected,Expected,Expected,Expected,Expected,97.9%,No
1062,Sienna,Parker,Year 2,26/06/2018,Female,Expected,Expected,Expected,Expected,Expected,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Expected,93.0%,No
1063,Archie,Harris,Year 2,13/09/2017,Male,Working Towards,Greater Depth,Working Towards,Working Towards,Working Towards,Expected,Expected,Expected,Greater Depth,Working Towards,Greater Depth,90.9%,No
1064,Tommy,Walker,Year 2,05/01/2018,Male,Expected,Expected,Expected,Greater Depth,Pre-Working Towards,Greater Depth,Expected,Expected,Greater Depth,Working Towards,Expected,87.2%,Yes
1065,Jacob,Khan,Year 2,03/03/2018,Male,Working Towards,Expected,Expected,Expected,Expected,Working Towards,Expected,Expected,Expected,Expected,Working Towards,92.3%,No
1066,Charlie,Harris,Year 2,29/07/2018,Male,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Pre-Working Towards,Working Towards,Expected,Working Towards,Working Towards,Greater Depth,Expected,93.5%,No
1067,Freddie,Wood,Year 2,26/10/2017,Male,Greater Depth,Greater Depth,Working Towards,Expected,Expected,Greater Depth,Working Towards,Expected,Working Towards,Greater Depth,Working Towards,94.1%,No
1068,Grace,Lewis,Year 2,30/12/2017,Female,Greater Depth,Greater Depth,Working Towards,Expected,Expected,Expected,Expected,Expected,Working Towards,Expected,Expected,85.9%,Yes
1069,Daisy,Cooper,Year 2,19/02/2018,Female,Greater Depth,Working Towards,Expected,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Greater Depth,Expected,Expected,Expected,93.5%,No
1070,Zachary,Scott,Year 2,06/08/2018,Male,Working Towards,Expected,Greater Depth,Working Towards,Greater Depth,Expected,Expected,Expected,Greater Depth,Greater Depth,Pre-Working Towards,92.5%,No
1071,Ethan,Bailey,Year 2,10/10/2017,Male,Expected,Expected,Expected,Working Towards,Expected,Working Towards,Greater Depth,Expected,Expected,Expected,Expected,99.1%,No
1072,Zoe,Young,Year 2,27/07/2018,Female,Working Towards,Working Towards,Expected,Expected,Working Towards,Greater Depth,Working Towards,Expected,Expected,Expected,Expected,93.6%,No
1073,Nora,Singh,Year 2,30/06/2018,Female,Pre-Working Towards,Expected,Expected,Working Towards,Expected,Expected,Greater Depth,Greater Depth,Expected,Working Towards,Greater Depth,94.4%,No
1074,Lucas,Wilson,Year 2,21/10/2017,Male,Expected,Working Towards,Expected,Working Towards,Working Towards,Greater Depth,Expected,Working Towards,Expected,Expected,Expected,97.9%,No
1075,Isaac,Khan,Year 2,29/01/2018,Male,Expected,Expected,Working Towards,Greater Depth,Working Towards,Greater Depth,Expected,Expected,Expected,Expected,Greater Depth,90.9%,No
1076,Maisie,Bennett,Year 2,21/11/2017,Female,Pre-Working Towards,Expected,Expected,Working Towards,Working Towards,Working Towards,Greater Depth,Working Towards,Greater Depth,Greater Depth,Greater Depth,87.2%,Yes
1077,Oliver,Taylor,Year 2,06/03/2018,Male,Expected,Expected,Expected,Greater Depth,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,Working Towards,Working Towards,99.6%,No
1078,Arthur,Wilson,Year 2,03/01/2018,Male,Expected,Expected,Greater Depth,Greater Depth,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Expected,Greater Depth,94.3%,No
1079,Poppy,Young,Year 2,16/03/2018,Female,Pre-Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Expected,Expected,Greater Depth,Expected,93.8%,No
1080,Ella,Davies,Year 2,25/12/2017,Female,Expected,Working Towards,Pre-Working Towards,Working Towards,Expected,Pre-Working Towards,Working Towards,Greater Depth,Expected,Pre-Working Towards,Greater Depth,97.4%,No
1081,Bonnie,Khan,Year 2,15/12/2017,Female,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,Expected,Greater Depth,Greater Depth,Greater Depth,Greater Depth,Working Towards,Working Towards,97.2%,No
1082,Nora,Price,Year 2,13/08/2018,Female,Working Towards,Working Towards,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Greater Depth,Expected,Greater Depth,Expected,97.1%,No
1083,Zoe,King,Year 2,18/11/2017,Female,Greater Depth,Expected,Expected,Greater Depth,Pre-Working Towards,Greater Depth,Pre-Working Towards,Expected,Working Towards,Expected,Greater Depth,96.1%,No
1084,James,Morris,Year 2,07/03/2018,Male,Working Towards,Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,90.2%,No
1085,Isaac,Williams,Year 2,05/06/2018,Male,Greater Depth,Expected,Expected,Pre-Working Towards,Working Towards,Greater Depth,Expected,Expected,Working Towards,Working Towards,Expected,90.6%,No
1086,Esme,Lewis,Year 2,10/09/2017,Female,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Expected,Greater Depth,Expected,Expected,Expected,94.2%,No
1087,Molly,Scott,Year 2,24/09/2017,Female,Greater Depth,Working Towards,Greater Depth,Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,Expected,88.1%,Yes
1088,Jacob,Evans,Year 2,11/05/2018,Male,Expected,Expected,Expected,Pre-Working Towards,Expected,Working Towards,Expected,Working Towards,Greater Depth,Greater Depth,Greater Depth,93.1%,No
1089,Ethan,Green,Year 2,31/10/2017,Male,Greater Depth,Working Towards,Greater Depth,Expected,Expected,Expected,Expected,Working Towards,Working Towards,Working Towards,Greater Depth,98.1%,No
1090,Ava,Moore,Year 2,14/04/2018,Female,Working Towards,Greater Depth,Expected,Working Towards,Expected,Pre-Working Towards,Greater Depth,Greater Depth,Greater Depth,Expected,Pre-Working Towards,97.4%,No
1091,Daniel,King,Year 3,24/02/2017,Male,Pre-Working Towards,Expected,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Expected,99.5%,No
1092,Mohammed,Wright,Year 3,14/08/2017,Male,Expected,Pre-Working Towards,Working Towards,Expected,Pre-Working Towards,Expected,Greater Depth,Working Towards,Expected,Greater Depth,Working Towards,94.2%,No
1093,Molly,Brown,Year 3,25/03/2017,Female,Expected,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Expected,Expected,Expected,Expected,91.3%,No
1094,Lily,Ahmed,Year 3,23/10/2016,Female,Expected,Pre-Working Towards,Expected,Expected,Expected,Expected,Expected,Working Towards,Expected,Pre-Working Towards,Expected,95.3%,No
1095,Maisie,Carter,Year 3,23/01/2017,Female,Expected,Greater Depth,Expected,Greater Depth,Expected,Expected,Expected,Expected,Expected,Greater Depth,Greater Depth,91.1%,No
1096,Maya,Hill,Year 3,07/04/2017,Female,Greater Depth,Pre-Working Towards,Expected,Expected,Expected,Working Towards,Working Towards,Expected,Greater Depth,Expected,Working Towards,93.8%,No
1097,Aiden,Williams,Year 3,04/03/2017,Male,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,Working Towards,Working Towards,Greater Depth,Working Towards,Expected,95.4%,No
1098,Eliza,Evans,Year 3,25/09/2016,Female,Expected,Expected,Expected,Working Towards,Expected,Greater Depth,Expected,Greater Depth,Expected,Working Towards,Pre-Working Towards,85.7%,Yes
1099,Alfie,Harris,Year 3,07/08/2017,Male,Expected,Expected,Expected,Expected,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Expected,Working Towards,Expected,94.9%,No
1100,Charlie,Walker,Year 3,13/07/2017,Male,Working Towards,Expected,Expected,Working Towards,Greater Depth,Expected,Expected,Greater Depth,Expected,Expected,Greater Depth,97.3%,No
1101,Arthur,Price,Year 3,11/03/2017,Male,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Working Towards,Expected,Working Towards,Greater Depth,Expected,Greater Depth,Pre-Working Towards,97.0%,No
1102,Harry,Morris,Year 3,28/10/2016,Male,Expected,Expected,Expected,Greater Depth,Greater Depth,Expected,Expected,Greater Depth,Expected,Expected,Expected,98.8%,No
1103,Esme,Cooper,Year 3,20/02/2017,Female,Greater Depth,Greater Depth,Expected,Greater Depth,Expected,Pre-Working Towards,Expected,Expected,Expected,Expected,Expected,95.6%,No
1104,Evelyn,Lewis,Year 3,20/04/2017,Female,Expected,Working Towards,Expected,Pre-Working Towards,Working Towards,Greater Depth,Pre-Working Towards,Expected,Expected,Expected,Greater Depth,95.4%,No
1105,Joseph,Young,Year 3,21/03/2017,Male,Expected,Expected,Greater Depth,Expected,Expected,Expected,Greater Depth,Greater Depth,Expected,Expected,Greater Depth,93.3%,No
1106,Charlotte,Bennett,Year 3,16/06/2017,Female,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Expected,Expected,Expected,Greater Depth,Working Towards,92.3%,No
1107,Maya,Johnson,Year 3,13/01/2017,Female,Working Towards,Working Towards,Expected,Greater Depth,Expected,Greater Depth,Working Towards,Expected,Working Towards,Pre-Working Towards,Greater Depth,97.7%,No
1108,Nora,Wilson,Year 3,29/05/2017,Female,Greater Depth,Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Expected,Pre-Working Towards,Pre-Working Towards,Expected,Expected,92.4%,No
1109,Muhammad,Turner,Year 3,04/07/2017,Male,Pre-Working Towards,Greater Depth,Expected,Expected,Greater Depth,Working Towards,Expected,Working Towards,Expected,Expected,Expected,94.5%,No
1110,Florence,Thomas,Year 3,14/10/2016,Female,Expected,Greater Depth,Working Towards,Pre-Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,Pre-Working Towards,96.7%,No
1111,Aiden,Green,Year 3,25/02/2017,Male,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,Expected,Expected,Expected,Working Towards,Expected,93.1%,No
1112,Florence,Patel,Year 3,31/08/2017,Female,Expected,Expected,Working Towards,Pre-Working Towards,Expected,Expected,Expected,Greater Depth,Working Towards,Expected,Greater Depth,94.6%,No
1113,Isla,Brown,Year 3,13/09/2016,Female,Expected,Pre-Working Towards,Expected,Expected,Expected,Greater Depth,Working Towards,Expected,Working Towards,Expected,Working Towards,96.5%,No
1114,Adam,Turner,Year 3,28/11/2016,Male,Expected,Expected,Expected,Expected,Working Towards,Greater Depth,Working Towards,Working Towards,Expected,Greater Depth,Working Towards,85.8%,Yes
1115,Matilda,Baker,Year 3,11/07/2017,Female,Greater Depth,Expected,Working Towards,Greater Depth,Expected,Working Towards,Working Towards,Greater Depth,Expected,Expected,Expected,96.3%,No
1116,Samuel,Green,Year 3,10/03/2017,Male,Expected,Expected,Working Towards,Expected,Greater Depth,Pre-Working Towards,Greater Depth,Expected,Expected,Greater Depth,Expected,94.4%,No
1117,Lucas,Davies,Year 3,18/03/2017,Male,Working Towards,Working Towards,Expected,Expected,Expected,Working Towards,Working Towards,Greater Depth,Expected,Greater Depth,Expected,96.5%,No
1118,Ethan,Bell,Year 3,01/11/2016,Male,Working Towards,Expected,Working Towards,Working Towards,Expected,Pre-Working Towards,Greater Depth,Expected,Expected,Expected,Expected,96.9%,No
1119,Lily,Morris,Year 3,10/01/2017,Female,Pre-Working Towards,Working Towards,Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,93.1%,No
1120,Jack,Clarke,Year 3,31/10/2016,Male,Greater Depth,Expected,Expected,Expected,Expected,Expected,Working Towards,Greater Depth,Expected,Greater Depth,Pre-Working Towards,87.1%,Yes
1121,Nathan,Young,Year 4,21/12/2015,Male,Working Towards,Pre-Working Towards,Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,Expected,93.4%,No
1122,Lucas,Jackson,Year 4,22/07/2016,Male,Greater Depth,Expected,Expected,Greater Depth,Pre-Working Towards,Expected,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Working Towards,96.1%,No
1123,Evie,Lee,Year 4,16/01/2016,Female,Expected,Expected,Expected,Expected,Expected,Working Towards,Greater Depth,Greater Depth,Greater Depth,Greater Depth,Greater Depth,97.1%,No
1124,Leo,King,Year 4,29/02/2016,Male,Working Towards,Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Expected,Greater Depth,Expected,Expected,94.3%,No
1125,Samuel,Davies,Year 4,05/08/2016,Male,Expected,Expected,Working Towards,Expected,Expected,Expected,Working Towards,Expected,Greater Depth,Expected,Expected,98.5%,No
1126,Florence,Bennett,Year 4,12/09/2015,Female,Expected,Greater Depth,Greater Depth,Expected,Working Towards,Greater Depth,Greater Depth,Expected,Expected,Working Towards,Expected,95.4%,No
1127,Thomas,Cook,Year 4,20/11/2015,Male,Expected,Working Towards,Working Towards,Expected,Working Towards,Greater Depth,Pre-Working Towards,Expected,Expected,Expected,Pre-Working Towards,89.3%,Yes
1128,Ayla,Scott,Year 4,28/10/2015,Female,Working Towards,Working Towards,Working Towards,Expected,Expected,Expected,Working Towards,Expected,Expected,Expected,Working Towards,98.9%,No
1129,Isaac,Moore,Year 4,20/05/2016,Male,Expected,Expected,Pre-Working Towards,Greater Depth,Expected,Greater Depth,Working Towards,Working Towards,Expected,Greater Depth,Expected,95.0%,No
1130,Harper,Williams,Year 4,01/11/2015,Female,Working Towards,Expected,Working Towards,Expected,Working Towards,Expected,Greater Depth,Expected,Expected,Working Towards,Expected,93.7%,No
1131,Max,Patel,Year 4,13/11/2015,Male,Expected,Expected,Pre-Working Towards,Expected,Expected,Greater Depth,Working Towards,Expected,Expected,Expected,Pre-Working Towards,95.6%,No
1132,Jack,Moore,Year 4,29/06/2016,Male,Expected,Expected,Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,Pre-Working Towards,Working Towards,97.6%,No
1133,Jack,Wilson,Year 4,10/10/2015,Male,Working Towards,Pre-Working Towards,Working Towards,Expected,Expected,Expected,Greater Depth,Expected,Pre-Working Towards,Working Towards,Greater Depth,87.9%,Yes
1134,Lily,Walker,Year 4,03/12/2015,Female,Expected,Working Towards,Expected,Greater Depth,Expected,Greater Depth,Expected,Greater Depth,Expected,Greater Depth,Working Towards,97.8%,No
1135,Teddy,Hall,Year 4,05/02/2016,Male,Pre-Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,Pre-Working Towards,Pre-Working Towards,Expected,Greater Depth,92.9%,No
1136,Teddy,Carter,Year 4,07/03/2016,Male,Expected,Working Towards,Greater Depth,Pre-Working Towards,Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Greater Depth,87.6%,Yes
1137,Poppy,Williams,Year 4,12/11/2015,Female,Expected,Expected,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,Expected,Expected,Expected,98.7%,No
1138,Layla,Lee,Year 4,04/12/2015,Female,Expected,Pre-Working Towards,Greater Depth,Greater Depth,Expected,Greater Depth,Expected,Expected,Greater Depth,Working Towards,Working Towards,92.9%,No
1139,George,Brown,Year 4,02/10/2015,Male,Expected,Pre-Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Greater Depth,96.4%,No
1140,Charlie,Hughes,Year 4,17/04/2016,Male,Greater Depth,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Expected,Expected,Expected,Expected,Expected,95.5%,No
1141,Esme,Jackson,Year 4,20/05/2016,Female,Greater Depth,Pre-Working Towards,Expected,Expected,Greater Depth,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Working Towards,Greater Depth,94.7%,No
